num,worktree,branch,date,verdict,category,analysis
1,fresh-agent-parity-audit,feat/fresh-agent-parity-audit,2026-06-23,Ready for landing,ready-landing,"0 behind; 4 parity fixes (Codex onTurnCompleted; OpenCode idle-as-null; OPENCODE_CMD env; subscribe materialization race); 299 tests pass; 8 files +168 lines"
2,fresh-agent-turn-complete,fix/fresh-agent-server-authoritative-completion,2026-06-23,Ready for landing,ready-landing,"7 commits; server-authoritative turn completion for fresh-agent; 203 tests pass; 23 files +1289/-63; 6 fresheyes rounds; no merge conflicts"
3,freshagent-header-bar,freshagent-header-bar,2026-06-15,Ready for landing (needs test),finish-work,"Uncommitted: generalizes header bar to all providers + FreshAgentToolIcons; 3 files +100/-33; needs 1 test assertion for tool icons behavior"
4,fresh-agent-progressive-hydration,feature/fresh-agent-progressive-hydration,2026-06-21,Throw away — superseded,superseded,"Reverted via PR #470 (body-heavy restart regression); 47 files +3165/-2477; replaced by rehydration-fix plan with different architecture"
5,fix-codex-sidecar-build,fix/codex-sidecar-build,2026-05-18,Throw away — superseded,superseded,"Uncommitted changes superseded by main's durability approach; modified files all on main; new files (sidecar.ts durable-rollout-tracker.ts) replaced by durability-proof.ts/durability-store.ts"
6,fresh-agent-rehydration-fix,plan/fresh-agent-rehydration-fix,2026-06-22,Skipped — plan only,skipped-plan,"Plan only (3 docs commits; 2559-line planning doc); replacement for progressive-hydration; 33 behind; zero implementation"
7,dev-stack-main-trial,integration/main-to-tested-dev-stack-20260520,2026-05-20,Skipped — obsolete,skipped-obsolete,"Ancient relic; 508 behind; 282 files +44769/-8187; historical integration snapshot fully superseded by main's evolution"
8,agent-chat-spec-impl,codex/agent-chat-spec-split,2026-05-29,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
9,allowed-origins-bootstrap-cleanup,codex/allowed-origins-bootstrap-cleanup,2026-05-21,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
10,autokill-15,fix/autokill-default-15min,2026-05-29,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
11,claude-resume-robustness,claude-resume-robustness,2026-06-11,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
12,claude-status-notification-robustness,claude-status-notification-robustness,2026-05-29,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
13,codex-cli-upgrade-hang,fix/codex-cli-upgrade-hang,2026-06-17,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
14,codex-runtime-flake,fix/codex-runtime-startup-flake,2026-05-30,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
15,deterministic-codex-durability,fix/deterministic-codex-durability,2026-06-15,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
16,dev,dev,2026-06-22,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
17,feat-new-favicon-landing,feat/new-favicon,2026-05-24,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
18,fix-awaitConfig-timeout,fix/awaitConfig-timeout,2026-05-25,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
19,fix-codex-clean-exit-recovery,fix-codex-clean-exit-recovery,2026-05-24,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
20,fix-codex-update-skip,fix-codex-update-skip,2026-06-18,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
21,fix-editor-complete-root,fix/editor-complete-root,2026-06-11,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
22,fix-freshopencode-bouncer,fix/freshopencode-bouncer,2026-06-19,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
23,fix-launch-planner-shutdown,fix-launch-planner-shutdown,2026-06-07,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
24,fix-pr-415-freshopencode,fix/pr-415-freshopencode,2026-06-12,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
25,fix-setup-wizard-dismiss,fix-setup-wizard-dismiss,2026-05-24,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
26,fresh-agent-font-size,feat/fresh-agent-font-size,2026-06-11,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
27,fresh-agent-import-cleanup,codex/fresh-agent-import-cleanup,2026-05-29,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
28,fresh-agent-mono-style,feat/fresh-agent-mono-style,2026-06-17,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
29,fresh-agent-opacity-whitespace,codex/fresh-agent-opacity-whitespace,2026-06-11,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
30,fresh-agent-transcript-contract,feature/fresh-agent-transcript-contract,2026-06-19,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
31,fresh-client-responsive-display,codex/fresh-client-responsive-display,2026-06-12,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
32,fresh-clients-toggle,codex/fresh-clients-toggle,2026-05-29,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
33,fresh-pane,feat/fresh-pane-clients,2026-06-10,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
34,freshagent-body-reopen-context,fix/freshagent-body-reopen-context,2026-06-14,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
35,freshagent-qa-fixes,freshagent-qa-fixes,2026-06-13,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
36,freshagent-style-settings,freshagent-style-settings,2026-06-12,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
37,freshagent-ux-restoration,freshagent-ux-restoration,2026-05-24,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
38,freshcodex-improvements,freshcodex-improvements,2026-05-24,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
39,freshopencode-db-history,freshopencode-db-history,2026-06-12,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
40,freshopencode-parity,freshopencode-parity,2026-05-24,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
41,kata-freshopencode-materialization-race,kata/freshopencode-materialization-race,2026-06-21,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
42,main-test-server-2,fix/freshclaude-main-server-validation,2026-06-11,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
43,materialization-subscription-leak-plan,docs/materialization-subscription-leak-plan,2026-06-14,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
44,new-settings-ui,new-settings-ui,2026-06-21,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
45,opencode-browser-refresh-restore,opencode-browser-refresh-restore,2026-06-01,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
46,opencode-refresh-tab-survival,fix/opencode-refresh-tab-survival,2026-06-01,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
47,opencode-replay-gap-lease,fix/opencode-replay-gap-lease,2026-06-15,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
48,pane-settings-input-ux,codex/pane-settings-input-ux,2026-06-11,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
49,plan-codex-stale-resume-recovery,plan/codex-stale-resume-recovery,2026-06-10,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
50,plan-terminal-catchup-architecture,plan-terminal-catchup-architecture,2026-06-08,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
51,plan-windows-wsl-paths,plan-windows-wsl-paths,2026-06-07,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
52,reopen-session-flavor-plan,plan/reopen-session-flavor,2026-06-13,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
53,replay-logging-summaries,fix/replay-logging-summaries,2026-06-15,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
54,repro-c3-sidecar-missing,(detached HEAD),2026-05-18,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
55,rollback-fresh-agent-progressive-hydration,rollback-fresh-agent-progressive-hydration,2026-06-21,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
56,settings-show-switches-plan,plan/settings-show-switches,2026-06-22,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
57,stdout-stderr-errors-only,codex/stdout-stderr-errors-only,2026-05-24,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
58,terminal-catchup-stream-safety,terminal-catchup-stream-safety,2026-06-10,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
59,zrrj-freshopencode-recovery,fix/zrrj-freshopencode-recovery,2026-06-22,Already on main,in-main,"Ancestor=YES; clean; 0 ahead. Safe to delete via git worktree remove"
